date,cases_raw,deaths_raw,hosp_nice,hosp_combined,icu_daily,rt_rivm,rt_low,rt_up,prevalence_rivm,sewage_rna,radar_contact_rate,radar_infected_contact,radar_infectious_contact,coronamelder_positives,cases_sm7,deaths_sm7,hosp_sm7,radar_c_sm7,radar_z_sm7,radar_cI_sm7,radar_I_frac_sm7,radar_I_count_sm7,cm_positives_sm7,sewage_sm7,hosp_nice_old,hosp_combined_old,icu_daily_old,radar_contact_rate_old,radar_infected_contact_old,radar_infectious_contact_old,hosp_sm7_old,radar_c_sm7_old,radar_cI_sm7_old,radar_I_frac_sm7_old,hosp_adm,hosp_notif,icu_adm,icu_notif,icu_sm7,tests_total,tests_positive,prev_json_avg,prev_json_low,prev_json_up,positivity_rate
2020-11-15,5418.0,50.0,154,154,34,0.96,0.93,0.99,78399.0,40149020455238.6,2.20310059476461,0.0092839542029573,0.0064669219569195,765.0,5243.57142857143,67.8571,197.857142857143,2.68236982250598,0.0078,0.0055800249620075,0.0020802593718395,36431.2,683.285714285714,40766704153040.5,,,,2.27134423251589,0.0087420526793823,0.0055366333636088,,2.3403,0.0049,0.00209375,154,116,34,23,32.1428571428572,20355.0,3345.0,108730.0,78399.0,139796.0,0.1643330876934414
2020-11-16,4842.0,48.0,251,251,36,0.93,0.9,0.95,78107.0,32744566324094.0,1.18348582574876,0.0110388027828111,0.0066656380793635,656.0,5253.28571428572,66.8571,195.714285714286,2.76227296631058,0.007,0.0051490875212547,0.001864076282125,32141.1,691.857142857143,39019192863492.2,,,,1.36094409046038,0.0102306380687427,0.0064794041102037,,2.382,0.0044,0.00184719,251,244,36,39,31.8571428571429,39750.0,5033.0,107836.0,78107.0,138923.0,0.12661635220125786
2020-11-17,4280.0,84.0,200,200,30,0.92,0.89,0.95,77398.0,32102445198551.2,3.27717065714341,0.0119867701585511,0.0037824705505486,518.0,5233.85714285714,65.0,186.571428571429,2.77951492386364,0.0078,0.0055560681460849,0.0019989344537721,35532.4,693.857142857143,30334508519165.4,,,,2.38458884416331,0.0047153536515238,0.0029863906459651,,2.3995,0.0049,0.00204209,200,227,30,33,31.4285714285714,39131.0,4832.0,106612.0,77398.0,136700.0,0.12348266080601059
2020-11-18,4583.0,86.0,195,195,31,0.93,0.9,0.96,77477.0,17106080081079.0,2.96604792397803,0.0123689456851157,0.0058390917631362,657.0,5249.14285714286,61.2857,187.857142857143,2.85070401883765,0.0074,0.0054747434877728,0.0019204882203116,33691.8,698.285714285714,24525757596079.3,,,,2.58417997097242,0.0080632156103854,0.0051067032199107,,2.4273,0.0047,0.00193631,195,188,31,29,31.1428571428571,42423.0,4866.0,106111.0,77477.0,135614.0,0.11470193055653773
2020-11-19,5686.0,67.0,194,194,39,0.96,0.93,0.99,76295.0,13476636792773.1,3.35039511130676,0.0125601148364196,0.0034591456842604,810.0,5240.57142857143,57.0,189.714285714286,2.89218540158461,0.0073,0.0053894477289901,0.0018634516743073,32795.2,697.571428571429,22566826115668.5,,,,2.69078269824923,0.0050205973223481,0.0031797116374871,,2.4406,0.0046,0.00188478,194,206,39,40,29.8571428571429,41208.0,4730.0,105200.0,76295.0,134367.0,0.11478353717724714
2020-11-20,5931.0,47.0,176,176,28,0.99,0.96,1.02,75520.0,21226420942091.4,3.33049650408031,0.0139067934047766,0.006254961865031,768.0,5289.0,59.2857,184.571428571429,2.94944712859323,0.0069,0.005348964329802,0.0018135481317657,30669.4,686.142857142857,20240807230473.7,,,,2.71573845276563,0.0099790914274852,0.0063200912374073,,2.4963,0.0044,0.00176261,176,177,28,27,28.4285714285714,37057.0,4476.0,104723.0,75520.0,133772.0,0.12078689586312977
2020-11-21,6004.0,47.0,145,145,20,1.01,0.98,1.05,75177.0,14875133378727.6,3.64423151484164,0.0125182634442898,0.0058549745151503,714.0,5241.42857142857,60.0,179.857142857143,2.9427663488392,0.0076,0.0058809721289137,0.0019984502443537,32854.7,701.285714285714,20616019434272.2,,,,2.98374748153123,0.0049697783747481,0.0031475263040071,,2.5421,0.0048,0.0018882,145,132,20,26,29.0,28312.0,3478.0,104472.0,75177.0,133674.0,0.12284543656400113
2020-11-22,5358.0,20.0,167,167,25,1.02,0.99,1.05,74830.0,26436500092363.3,2.49347027399333,0.0125021814167976,0.0058698516454405,760.0,5288.14285714286,58.0,176.142857142857,3.02782098538342,0.0073,0.0056400733716865,0.0018627499442383,31040.1,690.857142857143,19542112296487.0,,,,2.36387965290731,0.0082718352120671,0.0052388289676425,,2.5786,0.0046,0.00178391,167,136,25,23,30.4285714285714,25053.0,3051.0,103896.0,74830.0,133787.0,0.1217818225362232
2020-11-23,5181.0,64.0,215,215,26,1.03,1.0,1.06,74792.0,16462434127730.6,1.5843179148091,0.0093502483867389,0.0063822542850472,576.0,5114.14285714286,59.1429,175.714285714286,3.04836776774097,0.008,0.0065913076329319,0.0021622416109643,34187.3,674.714285714286,19047200172377.2,,,,1.75089285714286,0.0072704081632653,0.0046045918367346,,2.5957,0.0051,0.00196479,215,237,26,26,29.1428571428571,44651.0,4810.0,103280.0,74792.0,132910.0,0.10772435107836331
2020-11-24,3947.0,89.0,167,167,34,1.06,1.02,1.09,74846.0,34728930625140.5,3.2304051988652,0.0118551774395214,0.0075065251443303,624.0,5088.42857142857,64.0,175.285714285714,3.07552031114965,0.0088,0.0068449284274635,0.0022256163949393,37504.3,652.428571428572,19213533286965.3,,,,2.70561900411147,0.0097761534947464,0.006191563880006,,2.5981,0.0056,0.00215542,167,189,34,25,27.5714285714286,43514.0,4521.0,102882.0,74846.0,131862.0,0.10389759617594338
2020-11-25,4910.0,72.0,169,169,41,1.1,1.07,1.14,75332.0,9588730116582.68,3.56143037978762,0.0052895294521319,0.0041528004625458,584.0,4868.57142857143,65.0,168.571428571429,3.01316200892242,0.0104,0.0074358968742371,0.0024678052000584,44355.2,646.428571428571,19568595342516.1,,,,2.83929741774807,0.0060296238039061,0.0038187617424738,,2.5891,0.0066,0.00254915,169,135,41,43,27.7142857142857,41449.0,4458.0,102928.0,75332.0,131239.0,0.10755386137180632
